Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points
115,Celeste Kiewel,1,64.71,64.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Elsa Mowers,1,63.16,0.0,0.0,0.0,0.0,0.0,63.16,0.0,0.0,0.0
117,Maddie Mcalister,1,62.25,0.0,62.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Lynn Bebeau,2,61.95,0.0,0.0,0.0,0.0,0.0,41.95,20.0,0.0,0.0
119,Stephanie Michals,1,61.84,0.0,0.0,0.0,0.0,0.0,61.84,0.0,0.0,0.0
120,Anne Mcculloch,1,61.64,0.0,61.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Greer Simula,1,61.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.54,0.0
122,Sarah Richter,2,61.18,41.18,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Johanna Schwinghamer,1,60.71,0.0,0.0,0.0,0.0,0.0,0.0,60.71,0.0,0.0
124,Elly Miller,1,60.51,0.0,60.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Ann Kubusek,2,59.47,0.0,0.0,0.0,0.0,0.0,39.47,20.0,0.0,0.0
126,Rachel Law,1,59.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.38
127,Nicole Harvey,1,59.21,0.0,0.0,0.0,0.0,0.0,59.21,0.0,0.0,0.0
128,Kate Ludwig,1,56.58,0.0,0.0,0.0,0.0,0.0,56.58,0.0,0.0,0.0
129,Kelly O,1,56.36,0.0,56.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Ellen Thompson,2,54.38,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,34.38
131,Jane Sederquist,1,54.29,0.0,0.0,0.0,0.0,0.0,0.0,54.29,0.0,0.0
132,Tiffany Miller,1,53.95,0.0,0.0,0.0,0.0,0.0,53.95,0.0,0.0,0.0
133,Halle Aylesworth,1,53.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85,0.0
134,Mata Agre,1,53.57,0.0,0.0,0.0,0.0,0.0,0.0,53.57,0.0,0.0
135,Taylor Allen,1,53.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13
136,Laura Malahy,1,52.63,0.0,0.0,0.0,0.0,0.0,52.63,0.0,0.0,0.0
137,Stacey Kindelan,2,52.35,32.35,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
138,Talia Willmert,1,52.17,0.0,0.0,0.0,0.0,52.17,0.0,0.0,0.0,0.0
139,Ronnie Lajoie,2,52.14,0.0,32.14,20.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Eleanor Gansen,1,52.05,0.0,52.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Jena Ogston,1,51.86,0.0,0.0,51.86,0.0,0.0,0.0,0.0,0.0,0.0
142,Nicole Kime,1,51.1,0.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Kathy Cook-Dowd,1,50.57,0.0,0.0,0.0,50.57,0.0,0.0,0.0,0.0,0.0
144,Sydnie Lieb,1,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
145,Maddie Mcdermott,1,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
146,Bri Blasing,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
147,Phoebe Leege,2,48.77,0.0,28.77,20.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Carrie Bettendorf,1,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.75
149,Maria Schilling,1,47.86,0.0,0.0,0.0,0.0,0.0,0.0,47.86,0.0,0.0
150,Ivy Houts,2,47.63,0.0,0.0,0.0,20.0,0.0,27.63,0.0,0.0,0.0
151,Wendy Auldrich,1,47.53,0.0,0.0,0.0,0.0,0.0,47.53,0.0,0.0,0.0
152,Danielle Freshwaters,1,47.37,0.0,0.0,0.0,0.0,0.0,47.37,0.0,0.0,0.0
153,Astri Mikkelson Graceheart,1,46.58,0.0,46.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Susan Tanberg,1,46.43,0.0,0.0,0.0,0.0,0.0,0.0,46.43,0.0,0.0
155,Mra Renn,1,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0
156,Joyce Mattson,1,45.92,0.0,45.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Sylvie Pierce,1,45.21,0.0,45.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Margie Rock,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
159,Julieanne Hjerpe,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
160,Cheryl Heilman,1,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Britt Gangeness,1,44.74,0.0,0.0,0.0,0.0,0.0,44.74,0.0,0.0,0.0
162,Heather Hohenstein,1,44.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.46,0.0
163,HEIDI COLBY,1,44.21,0.0,0.0,0.0,0.0,0.0,44.21,0.0,0.0,0.0
