Name,Overall Place,Number of Events,Skadi's Chase Points,First Chance Points,City of Lakes Loppet Points,Total Points
Nils Wahlander,261,1,33.76,0.0,0.0,33.76
Ethan Ryan,262,1,0.0,0.0,33.73,33.73
Brian Milavitz,263,1,0.0,0.0,33.5,33.5
David Melcher,264,1,0.0,0.0,33.5,33.5
Mancel Mitchell,265,1,0.0,0.0,33.31,33.31
Timothy Westmark,266,1,33.06,0.0,0.0,33.06
Michael Engh,267,1,0.0,0.0,33.0,33.0
Travis Fondow,268,1,0.0,0.0,32.53,32.53
Billy Zins,269,1,0.0,0.0,32.13,32.13
William Anderson,270,1,0.0,0.0,31.99,31.99
Kyle Hall,271,1,0.0,0.0,31.73,31.73
Joe Anderson,272,1,0.0,0.0,31.5,31.5
James Denman,273,1,0.0,0.0,31.5,31.5
Levi Miller,274,1,31.45,0.0,0.0,31.45
Lee Nordstrum,275,1,0.0,0.0,31.32,31.32
David Brush,276,1,0.0,0.0,31.29,31.29
Mark Trumper,277,1,0.0,0.0,31.0,31.0
Charles Dieterle,278,1,0.0,0.0,30.92,30.92
Drew Ross,279,1,0.0,0.0,30.0,30.0
Erik Peterson,280,1,0.0,0.0,30.0,30.0
Benjamin Fuller,281,1,29.84,0.0,0.0,29.84
Glenn Hansen,282,1,0.0,0.0,29.5,29.5
Thomas Lindfors,283,1,0.0,0.0,29.5,29.5
Mike Binkowski,284,1,0.0,0.0,29.38,29.38
Gabe Bergin,285,1,29.03,0.0,0.0,29.03
Jorge Nunez,286,1,0.0,0.0,29.0,29.0
Peter Kaul,287,1,0.0,0.0,29.0,29.0
Kristopher Gerber,288,1,28.81,0.0,0.0,28.81
Jesse Longley,289,1,0.0,28.5,0.0,28.5
Alejandro Nunez,290,1,0.0,0.0,28.11,28.11
Jeffrey Roe,291,1,0.0,0.0,28.0,28.0
Jacob Meier,292,1,0.0,0.0,27.71,27.71
Nicholas Arth,293,1,0.0,0.0,27.51,27.51
Doug Dieck,294,1,0.0,0.0,27.5,27.5
Matthew Carlson,295,1,27.42,0.0,0.0,27.42
Alex Siagian,296,1,0.0,0.0,27.0,27.0
Kenneth Truong,297,1,0.0,0.0,26.91,26.91
Ben Myers,298,1,26.61,0.0,0.0,26.61
Craig Helmstetter,299,1,0.0,0.0,26.58,26.58
David Buchanan,300,1,0.0,0.0,26.5,26.5
David Peyton,301,1,0.0,0.0,26.1,26.1
Troy Hergenrader,302,1,0.0,0.0,26.0,26.0
Shaun Sava,303,1,0.0,0.0,25.5,25.5
John Oman,304,1,0.0,0.0,25.29,25.29
Matthew Kreilich,305,1,0.0,0.0,25.0,25.0
Kevin Olson,306,1,0.0,0.0,24.89,24.89
Michael Zwank,307,1,0.0,0.0,24.5,24.5
Jason Venhuizen,308,1,0.0,24.5,0.0,24.5
Thomas Blackstock,309,1,0.0,0.0,24.5,24.5
Donald Hart,310,1,0.0,0.0,24.19,24.19
Matthew Caballero,311,1,24.19,0.0,0.0,24.19
Tovin Sannes-Venhuizen,312,1,0.0,24.0,0.0,24.0
Andrew Connor,313,1,0.0,0.0,23.5,23.5
Park Walter,314,1,23.39,0.0,0.0,23.39
Jan Prihoda,315,1,0.0,0.0,23.0,23.0
Corby Lewis,316,1,23.0,0.0,0.0,23.0
Chip Lacasse,317,1,23.0,0.0,0.0,23.0
Kirk Spencer,318,1,23.0,0.0,0.0,23.0
Matt Lechevin,319,1,0.0,0.0,22.5,22.5
Aron Khoury,320,1,0.0,0.0,22.5,22.5
Michael Gloss,321,1,0.0,0.0,22.09,22.09
Timothy Hellman,322,1,0.0,0.0,22.0,22.0
Lou Kohl,323,1,0.0,0.0,22.0,22.0
Leandro Ribeiro,324,1,22.0,0.0,0.0,22.0
Cameron Spencer,325,1,21.77,0.0,0.0,21.77
Denny Carlson,326,1,0.0,0.0,21.69,21.69
Jon Pohlman,327,1,21.0,0.0,0.0,21.0
Peter Farley,328,1,20.97,0.0,0.0,20.97
James Gould,329,1,0.0,0.0,20.5,20.5
Tom Dahlen,330,1,0.0,0.0,20.5,20.5
Jared Verbeke,331,1,0.0,0.0,20.48,20.48
Jason Fauchier,332,1,20.16,0.0,0.0,20.16
Josh Heurung,333,1,0.0,0.0,20.0,20.0
Erik Ophaug,334,1,0.0,0.0,20.0,20.0
Alexander Forster,335,1,0.0,0.0,20.0,20.0
Mitch Hunter,336,1,0.0,0.0,20.0,20.0
Carter Green,337,1,0.0,0.0,20.0,20.0
Iosif Volodarskiy,338,1,0.0,0.0,20.0,20.0
Matt Leuwer,339,1,0.0,0.0,20.0,20.0
Colin Watkins,340,1,0.0,0.0,20.0,20.0
Parker Erdall,341,1,0.0,0.0,20.0,20.0
Kaleb Kadelbach,342,1,0.0,0.0,20.0,20.0
David Searl,343,1,0.0,0.0,20.0,20.0
Conor O?Brien,344,1,0.0,0.0,20.0,20.0
Thomas Newell,345,1,20.0,0.0,0.0,20.0
Bernt Snuggerud,346,1,20.0,0.0,0.0,20.0
Jack Burns,347,1,20.0,0.0,0.0,20.0
Andres Olson,348,1,0.0,20.0,0.0,20.0
James Drinane,349,1,20.0,0.0,0.0,20.0
Luke Skoglund,350,1,20.0,0.0,0.0,20.0
Karl Huemiller,351,1,20.0,0.0,0.0,20.0
Peter Weiss,352,1,20.0,0.0,0.0,20.0
Ben Zigler,353,1,20.0,0.0,0.0,20.0
Benjamin Comeau,354,1,20.0,0.0,0.0,20.0
Christopher Gill,355,1,20.0,0.0,0.0,20.0
Logan Boekhoff,356,1,20.0,0.0,0.0,20.0
Dan Muckala,357,1,20.0,0.0,0.0,20.0
Breck Allen,358,1,0.0,20.0,0.0,20.0
