Name,Overall Place,Number of Events,Skadi's Chase Points,Hiihto Relay Points,First Chance Points,LL Challenge Points,Mount Ashwabay Points,City of Lakes Loppet Points,Vasaloppet Points,Pepsi Challenge Points,Ski North Ultra Points,Series Points
Zach Fisher,162,1,0.0,0.0,0.0,87.04,0.0,0.0,0.0,0.0,0.0,87.04
Sean Heaton,163,1,0.0,0.0,0.0,0.0,0.0,0.0,86.84,0.0,0.0,86.84
Jon Delaney,164,1,0.0,86.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.84
Brodie Rau,165,1,0.0,0.0,0.0,0.0,0.0,86.59,0.0,0.0,0.0,86.59
Jake Cohen,166,2,0.0,0.0,0.0,0.0,0.0,66.03,0.0,20.0,0.0,86.03
Don Pollari,167,2,0.0,0.0,0.0,0.0,65.92,0.0,0.0,20.0,0.0,85.92
Mark Byrnes,168,2,0.0,0.0,0.0,65.81,0.0,0.0,20.0,0.0,0.0,85.81
Marco Rodriguez-House,169,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,0.0,85.71
Micah Mouser,170,1,0.0,0.0,0.0,0.0,0.0,0.0,85.53,0.0,0.0,85.53
Steven Deckert,171,1,85.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.42
Jeremiah Menk,172,2,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,65.41,85.41
Edward Coutu,173,2,34.38,0.0,0.0,0.0,0.0,0.0,50.66,0.0,0.0,85.03
Andre L'Heureux,174,1,0.0,0.0,0.0,0.0,0.0,84.65,0.0,0.0,0.0,84.65
Haakon Erdahl,175,1,0.0,0.0,0.0,0.0,0.0,0.0,84.21,0.0,0.0,84.21
David Jaszczak,176,1,0.0,84.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.21
Jon Friedell,177,2,0.0,0.0,0.0,38.0,0.0,45.82,0.0,0.0,0.0,83.82
Tyler Kyes,178,1,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,83.33
Noah Rounds,179,1,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33
Mark Michals,180,1,0.0,0.0,0.0,0.0,0.0,83.21,0.0,0.0,0.0,83.21
Andy Schakel,181,1,83.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.13
Florian Haskerkehrer,182,1,0.0,0.0,0.0,0.0,0.0,82.82,0.0,0.0,0.0,82.82
Nicholas Engling,183,2,0.0,0.0,0.0,37.96,0.0,44.27,0.0,0.0,0.0,82.24
Gavin Oconnell,184,1,0.0,0.0,0.0,0.0,0.0,0.0,82.24,0.0,0.0,82.24
Alexander Hulteen,185,2,0.0,0.0,0.0,62.04,0.0,0.0,20.0,0.0,0.0,82.04
Scott Mccarty,186,2,0.0,0.0,0.0,0.0,0.0,0.0,61.89,20.0,0.0,81.89
Sam Thompson,187,1,0.0,0.0,0.0,0.0,0.0,0.0,81.58,0.0,0.0,81.58
Grant Halverson,188,1,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25
Eric Hedman,189,2,0.0,0.0,0.0,0.0,0.0,61.15,20.0,0.0,0.0,81.15
Steve Chiodo,190,2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,61.14,0.0,81.14
Alec Steward,191,1,0.0,0.0,0.0,0.0,0.0,0.0,80.92,0.0,0.0,80.92
Brian Markes,192,2,0.0,0.0,0.0,0.0,0.0,59.92,20.0,0.0,0.0,79.92
Peter Everett,193,2,0.0,0.0,0.0,37.33,0.0,42.55,0.0,0.0,0.0,79.88
Nathan Taylor,194,1,0.0,0.0,0.0,0.0,0.0,0.0,79.61,0.0,0.0,79.61
Charles Anderson,195,1,0.0,0.0,0.0,0.0,0.0,79.52,0.0,0.0,0.0,79.52
Michael Coughlin,196,1,0.0,0.0,0.0,0.0,0.0,79.39,0.0,0.0,0.0,79.39
Eric Patterson,197,1,0.0,0.0,0.0,0.0,79.17,0.0,0.0,0.0,0.0,79.17
Andrew Twito,198,1,79.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.17
Ryan Wilson,199,1,0.0,0.0,0.0,0.0,0.0,79.01,0.0,0.0,0.0,79.01
Dan Mcgrath,200,1,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,79.0
Keith Gilbert,201,2,0.0,0.0,0.0,0.0,20.0,0.0,58.74,0.0,0.0,78.74
Murray Dunsirn,202,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05,78.05
Jason Dalebroux,203,3,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,22.95,77.95
Rudy Herold,204,1,0.0,0.0,0.0,77.78,0.0,0.0,0.0,0.0,0.0,77.78
Brent Smith,205,1,0.0,0.0,0.0,0.0,77.17,0.0,0.0,0.0,0.0,77.17
Thomas Egger,206,1,0.0,0.0,0.0,0.0,0.0,77.11,0.0,0.0,0.0,77.11
McDaniel Lang,207,1,0.0,0.0,0.0,0.0,0.0,77.1,0.0,0.0,0.0,77.1
Dominic Beckman,208,1,0.0,0.0,0.0,0.0,77.08,0.0,0.0,0.0,0.0,77.08
Michael Sweet,209,2,0.0,0.0,56.9,0.0,0.0,0.0,20.0,0.0,0.0,76.9
Peter Knoll,210,2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,56.86,0.0,76.86
Laszlo Alberti,211,1,76.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.75
David Peyton,212,2,0.0,0.0,0.0,0.0,0.0,31.3,45.39,0.0,0.0,76.69
Anders Osthus,213,1,0.0,0.0,0.0,0.0,0.0,76.34,0.0,0.0,0.0,76.34
John Fox,214,1,0.0,76.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.32
Matt Gardner,215,1,0.0,0.0,0.0,0.0,0.0,76.28,0.0,0.0,0.0,76.28
Steven Goetz,216,1,0.0,0.0,0.0,0.0,0.0,75.23,0.0,0.0,0.0,75.23
Jon Pohlman,217,3,20.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,75.0
Kyle Hall,218,2,0.0,0.0,0.0,0.0,0.0,54.96,20.0,0.0,0.0,74.96
Mark Gehlsen,219,2,0.0,0.0,0.0,0.0,0.0,54.46,20.0,0.0,0.0,74.46
Jonathan Williams,220,1,0.0,0.0,0.0,0.0,0.0,0.0,74.39,0.0,0.0,74.39
Matthew Trzynka,221,1,0.0,0.0,0.0,0.0,0.0,0.0,74.34,0.0,0.0,74.34
Erik Larson,222,1,0.0,0.0,0.0,0.0,0.0,74.05,0.0,0.0,0.0,74.05
Cai Hallstrom,223,1,73.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.96
Michael Hall,224,2,0.0,0.0,53.85,0.0,0.0,0.0,20.0,0.0,0.0,73.85
Ben Bauch,225,1,0.0,0.0,0.0,0.0,0.0,73.66,0.0,0.0,0.0,73.66
Justin Jones,226,2,26.04,0.0,0.0,0.0,0.0,47.33,0.0,0.0,0.0,73.37
Stephen Bennett,227,1,0.0,0.0,0.0,0.0,0.0,72.99,0.0,0.0,0.0,72.99
Tim Kohls,228,2,0.0,0.0,0.0,29.15,0.0,43.79,0.0,0.0,0.0,72.93
